Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr(>F)
2,6.340997951541727,3.1704989757708635,24.03701078714712,0.0942491080528242,0.001
462,60.93813160783575,0.13190071776587825,NA,0.9057508919471757,NA
464,67.27912955937748,NA,NA,1,NA
