"","Plot","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"38","CAB2 POL-02",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"39","CAB2 POL-03",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X",NA
"40","CAB2 POL-04",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,NA,NA
"41","CAB2 POL-05",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"42","CAB2 POL-06",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"43","CAB3 CHT-01","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"44","CAB3 CHT-02","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"45","CAB3 CHT-03","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"46","CAB3 CHT-04","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"47","CAB3 CHT-05","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"48","CAB3 MYT-01","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"49","CAB3 MYT-02","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"50","CAB3 MYT-03","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"51","CAB3 MYT-04","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"52","CAB3 MYT-05","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"53","CAB3 SIL-01","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"54","CAB3 SIL-02","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"55","CAB3 SIL-03","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X",NA,"X","X",NA,"X","X"
"56","CAB3 SIL-04","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"57","CAB3 SIL-05","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"58","CAB3 POL-01",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"59","CAB3 POL-02",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"60","CAB3 POL-03",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"61","CAB3 POL-05",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"62","CAB3 POL-06",NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
"63","CAB3 POL-04",NA,NA,NA,NA,NA,NA,"X","X","X","X","X","X","X","X","X","X","X","X","X",NA,"X","X","X","X","X","X","X","X",NA,"X","X"
